Neighborhood,Exterior1st,YearBuilt,LotFrontage,GrLivArea,GarageArea,SalePrice
Other,VinylSd,2007,70.0,1120,0,147000
Other,Other,1972,21.0,630,0,75500
NAmes,Other,1963,80.0,1054,480,137500
Other,VinylSd,2002,,1509,393,183200
NAmes,Other,1954,59.0,832,528,105500
Other,Other,2007,90.0,1828,774,314813
Other,VinylSd,2003,85.0,2262,749,305000
Edwards,Other,1914,45.0,864,0,67000
Other,HdBoard,1974,90.0,2614,624,240000
Other,Other,1977,71.0,980,484,135000
Other,Other,2000,,1512,440,168500
Other,VinylSd,1972,80.0,1790,484,165150
NAmes,Other,1962,87.0,1116,440,160000
NAmes,Other,1960,,1422,286,139900
NAmes,Other,1955,80.0,1520,364,153000
NAmes,Other,1969,70.0,2080,504,135000
NAmes,Other,1964,82.0,1350,520,168500
OldTown,VinylSd,1880,50.0,1750,240,124000
Other,VinylSd,2006,34.0,1554,627,209500
Other,Other,1977,85.0,1411,544,82500
NAmes,Other,1954,80.0,1056,260,139400
OldTown,Other,1980,64.0,1056,576,144000
Other,VinylSd,1914,60.0,3395,0,200000
Other,Other,1936,51.0,800,0,60000
OldTown,Other,1954,50.0,1387,256,93000
Edwards,Other,1910,67.0,796,0,85000
Other,VinylSd,2006,53.0,1567,648,264561
Other,Other,2003,62.0,1518,588,274000
Other,VinylSd,2001,,1929,650,226000
NAmes,Other,1972,75.0,2704,538,345000
Other,Other,1969,80.0,1620,462,152000
Other,Other,2009,85.0,1766,478,370878
NAmes,Other,1971,,981,576,143250
NAmes,Other,1950,60.0,1048,420,98300
Edwards,Other,1953,85.0,1094,495,155000
NAmes,Other,1966,70.0,1839,442,155000
Other,Other,1970,21.0,630,0,84500
Other,Other,2007,65.0,1665,562,205950
Edwards,Other,1940,60.0,1510,296,108000
CollgCr,VinylSd,1996,70.0,1716,512,191000
Other,Other,1906,60.0,1469,216,135000
Other,Other,1995,91.0,2113,839,350000
Other,HdBoard,1971,21.0,1092,264,88000
NAmes,HdBoard,1959,72.0,1053,312,145500
Other,Other,1931,60.0,1502,270,149000
NAmes,VinylSd,1948,78.0,1458,330,97500
Edwards,Other,1964,75.0,1486,480,167000
Other,Other,1976,,1935,550,197900
Other,VinylSd,1994,52.0,2448,711,402000
NAmes,Other,1968,120.0,1392,576,110000
Edwards,Other,1972,90.0,1181,588,137500
Other,VinylSd,2005,49.0,2097,1134,423000
Other,VinylSd,2000,106.0,1936,504,230500
NAmes,Other,1965,,2380,596,129000
Other,HdBoard,1994,65.0,1679,575,193500
Other,Other,1956,,1437,576,168000
,Other,1922,80.0,1180,252,137500
CollgCr,VinylSd,2005,64.0,1476,540,173500
Edwards,Other,1925,54.0,1369,300,103600
Other,Other,1977,,1208,546,165000
Other,Other,1957,110.0,1839,416,257500
NAmes,HdBoard,1965,80.0,1136,384,140000
Other,Other,1978,24.0,1441,440,148500
OldTown,Other,1900,60.0,1774,779,87000
OldTown,VinylSd,1924,52.0,792,240,109500
Other,VinylSd,2008,80.0,2046,834,372500
Other,Other,1961,,988,572,128500
Other,Other,1980,50.0,923,264,143000
Other,VinylSd,1932,55.0,1520,281,159434
Other,Other,1996,,1291,431,173000
CollgCr,VinylSd,2002,90.0,1668,702,285000
Other,VinylSd,1998,58.0,1839,486,221000
Other,HdBoard,1984,,2090,577,207500
Other,VinylSd,2007,84.0,1761,578,227875
Other,Other,2004,,1102,480,148800
Other,Other,2007,60.0,1419,567,392000
Other,VinylSd,2005,61.0,1362,460,194700
CollgCr,VinylSd,2004,,848,420,141000
Other,HdBoard,1994,104.0,4316,832,755000
Other,Other,1989,42.0,2519,628,335000
OldTown,Other,1921,60.0,1073,326,108480
,,1936,51.0,1539,576,141500
Other,HdBoard,1987,54.0,1137,551,176000
Other,Other,1921,50.0,616,205,89000
Edwards,Other,1952,57.0,1148,308,123500
Other,Other,1965,65.0,894,336,138500
Other,Other,2004,59.0,1391,530,196000
Other,VinylSd,2002,85.0,1800,765,312500
Other,HdBoard,1969,80.0,1164,528,140000
Other,VinylSd,2006,82.0,2576,666,361919
OldTown,Other,1900,76.0,1812,672,140000
CollgCr,VinylSd,2004,70.0,1484,606,213000
Other,VinylSd,1930,70.0,1092,0,55000
Other,Other,1971,,1824,739,302000
Other,Other,2006,48.0,1324,550,254000
Other,VinylSd,2007,65.0,1456,400,179540
Other,HdBoard,1966,,904,408,109900
Other,VinylSd,1935,56.0,729,0,52000
Other,Other,1900,66.0,1178,384,102776
Other,HdBoard,1988,40.0,1228,472,189000
Other,HdBoard,1970,60.0,960,576,129000
Other,HdBoard,1976,,1479,475,130500
Other,HdBoard,1974,78.0,1350,478,165000
OldTown,Other,1890,60.0,2554,704,159500
Other,HdBoard,1973,80.0,1178,439,157000
Other,Other,1993,96.0,2418,983,341000
CollgCr,HdBoard,1969,69.0,971,300,128500
Other,HdBoard,1985,,1742,564,275000
CollgCr,VinylSd,2004,,848,420,143000
NAmes,Other,1970,70.0,864,463,124500
Edwards,Other,1954,60.0,1470,548,135000
Edwards,Other,2007,86.0,1698,768,320000
NAmes,HdBoard,1970,60.0,864,660,120500
Other,Other,1988,,1680,540,222000
CollgCr,VinylSd,2007,64.0,1232,632,194500
NAmes,VinylSd,1958,85.0,1776,888,110000
Other,Other,1925,52.0,1208,539,103000
Other,Other,1995,39.0,1616,608,236500
Other,VinylSd,2003,73.0,1146,438,187500
CollgCr,VinylSd,1998,75.0,2031,541,222500
Other,HdBoard,1961,80.0,1144,264,131400
Other,Other,1968,,948,300,108000
,Other,1914,60.0,1768,320,163000
NAmes,Other,1950,60.0,1040,400,93500
Other,VinylSd,2005,72.0,1801,800,239900
Edwards,Other,1987,60.0,1200,0,179000
CollgCr,VinylSd,2004,65.0,1728,572,190000
OldTown,Other,1910,60.0,1432,360,132000
Other,HdBoard,1961,65.0,912,288,142000
Other,VinylSd,2000,65.0,1349,539,179000
Other,HdBoard,1963,70.0,1464,480,175000
Other,HdBoard,1993,41.0,1337,462,180000
Other,VinylSd,1976,,2715,831,299800
Other,VinylSd,2000,,2256,554,236000
OldTown,Other,1880,65.0,2640,864,265979
Other,VinylSd,1996,59.0,1720,527,260400
Edwards,Other,1945,50.0,1529,240,98000
OldTown,Other,1910,55.0,1140,0,96500
Other,VinylSd,2003,,1320,400,162000
CollgCr,VinylSd,1997,79.0,1494,576,217000
Other,VinylSd,2005,80.0,2098,878,275500
NAmes,Other,1969,61.0,1026,440,156000
Other,Other,1999,34.0,1471,440,172500
CollgCr,VinylSd,2007,68.0,1768,578,212000
Other,HdBoard,1978,,1386,440,158900
Other,Other,1999,24.0,1501,440,179400
Other,VinylSd,1995,65.0,2531,752,290000
NAmes,Other,1959,70.0,864,300,127500
Other,Other,1924,60.0,1301,440,100000
Other,VinylSd,2009,72.0,1547,614,215200
Other,VinylSd,1999,82.0,2365,856,337000
Other,Other,1995,30.0,1494,481,270000
Other,VinylSd,2008,75.0,1506,592,264132
Other,HdBoard,1988,80.0,1714,496,196500
Other,VinylSd,1940,75.0,1750,423,160000
CollgCr,VinylSd,2004,70.0,1836,484,216837
Other,Other,2003,47.0,3279,841,538000
Other,Other,1982,,858,576,134900
Edwards,,1951,67.0,1220,396,102000
,Other,1976,94.0,1117,672,107000
NAmes,Other,1958,70.0,912,275,114500
Other,VinylSd,2006,110.0,1973,895,395000
Other,VinylSd,1998,32.0,1204,412,162000
CollgCr,VinylSd,2005,86.0,1614,865,221500
Other,HdBoard,1974,100.0,894,440,142500
Other,Other,1977,60.0,2020,630,144000
Other,Other,1977,78.0,1004,504,135000
Other,HdBoard,1995,63.0,1253,402,176000
Other,VinylSd,1992,65.0,1603,484,175900
CollgCr,VinylSd,2001,67.0,1430,605,187100
Other,Other,1978,,1110,602,165500
OldTown,Other,1914,35.0,1484,0,128000
Other,Other,1967,,1342,457,161500
OldTown,,1915,60.0,1652,416,139000
Other,VinylSd,2004,76.0,2084,618,233000
OldTown,Other,1954,50.0,901,281,107900
Other,HdBoard,1966,,2087,444,187500
Other,VinylSd,2005,43.0,1145,397,160200
Other,HdBoard,1976,,1062,539,146800
Other,Other,1996,92.0,2013,455,269790
Other,Other,2007,76.0,1496,474,225000
Other,Other,1994,,1895,409,194500
Other,HdBoard,1980,70.0,1564,476,171000
Other,Other,1977,71.0,1285,528,143500
NAmes,VinylSd,1953,57.0,773,240,110000
Other,VinylSd,2008,104.0,3140,820,485000
Other,,1937,60.0,1768,240,175000
Other,VinylSd,1997,79.0,1688,603,200000
Other,Other,1916,40.0,1196,440,109900
CollgCr,Other,2005,63.0,1456,410,189000
Other,,2008,107.0,2822,1020,582933
NAmes,Other,1954,75.0,1128,286,118000
Other,VinylSd,2008,91.0,1428,554,227680
NAmes,VinylSd,1967,75.0,980,384,135500
Other,Other,1923,144.0,1576,528,223500
NAmes,VinylSd,1966,85.0,1086,484,159950
OldTown,Other,1898,90.0,2138,360,106000
Other,HdBoard,1974,78.0,1309,484,181000
CollgCr,VinylSd,2004,,848,420,144500
Other,Other,1952,66.0,1044,504,55993
NAmes,,1958,75.0,1442,301,157900
Edwards,Other,1918,45.0,1250,280,116000
CollgCr,VinylSd,1998,48.0,1661,598,224900
NAmes,Other,1954,,1008,275,137000
Other,Other,2002,,1689,857,271000
Other,HdBoard,1971,80.0,1052,440,155000
Other,VinylSd,2009,44.0,1358,484,224000
CollgCr,VinylSd,2003,72.0,1640,595,183000
OldTown,Other,1953,60.0,936,576,93000
Other,VinylSd,2003,,1733,433,225000
Other,,1940,60.0,1489,240,139500
Other,VinylSd,2006,81.0,1489,776,232600
Other,Other,2007,114.0,2084,1220,385000
Other,Other,1924,50.0,784,0,109500
Other,VinylSd,2001,65.0,1434,527,189000
Other,Other,1967,,2126,538,185000
Other,Other,2005,24.0,1223,480,147400
NAmes,HdBoard,1957,80.0,1392,458,166000
Other,Other,2005,30.0,1200,480,151000
CollgCr,VinylSd,2003,44.0,1829,613,237000
NAmes,HdBoard,1964,100.0,1516,472,167000
NAmes,VinylSd,1961,75.0,1144,456,139950
,VinylSd,1950,60.0,1067,436,128000
OldTown,VinylSd,1948,90.0,1559,812,153500
Other,HdBoard,1973,21.0,987,264,100000
CollgCr,VinylSd,1995,75.0,1099,352,144000
Edwards,Other,1946,70.0,1200,240,130500
Other,Other,1925,,1482,400,140000
OldTown,Other,1904,60.0,1539,686,157500
NAmes,HdBoard,1966,82.0,1165,490,174900
NAmes,Other,1961,80.0,1800,0,141000
OldTown,Other,1915,100.0,1416,720,153900
Other,HdBoard,1975,,1701,611,171000
Other,HdBoard,1993,75.0,1775,425,213000
CollgCr,HdBoard,1972,36.0,864,338,133500
Other,Other,1908,75.0,2358,360,240000
Other,Other,1976,80.0,1855,512,187000
CollgCr,VinylSd,2003,36.0,848,420,131500
Other,VinylSd,2003,,1456,400,215000
Other,Other,1941,53.0,1646,240,164000
NAmes,Other,1964,,1445,645,158000
Other,Other,1955,102.0,1779,454,170000
Other,HdBoard,1962,,1040,260,127000
CollgCr,Other,1978,,1026,576,147000
Other,HdBoard,1994,65.0,1481,343,174000
Other,HdBoard,1976,80.0,1370,479,152000
Other,HdBoard,1968,,2654,619,250000
Other,Other,1918,55.0,1426,216,189950
Other,Other,1965,75.0,1039,504,131500
Other,HdBoard,1984,81.0,1097,480,152000
NAmes,Other,1959,70.0,1148,672,132500
Other,,2007,72.0,1372,529,250580
NAmes,Other,1970,,1002,902,148500
Other,VinylSd,2006,67.0,1646,870,248900
Other,VinylSd,1961,85.0,1120,544,129000
Other,Other,1948,,2320,672,169000
Other,Other,1993,80.0,1949,574,236000
NAmes,Other,1962,60.0,894,308,109500
CollgCr,VinylSd,1998,70.0,1682,523,200500
NAmes,Other,1953,74.0,910,414,116000
NAmes,HdBoard,1949,60.0,1268,288,133000
OldTown,Other,1941,52.0,1131,200,66500
Other,Other,2007,75.0,2610,550,303477
Other,HdBoard,1963,94.0,1040,648,132250
Other,VinylSd,2004,74.0,2224,738,350000
,HdBoard,1961,88.0,1155,576,148000
CollgCr,VinylSd,1978,,864,336,136500
Edwards,VinylSd,2005,60.0,1090,450,157000
Other,HdBoard,1990,44.0,1717,400,187500
Other,VinylSd,1992,,1593,389,178000
Other,Other,1912,60.0,2230,440,118500
NAmes,HdBoard,1967,65.0,892,288,100000
Other,Other,1999,50.0,1709,506,328900
NAmes,Other,1959,70.0,1712,588,145000
Edwards,Other,1955,59.0,1393,300,135500
NAmes,Other,1970,95.0,2217,621,268000
NAmes,Other,1953,128.0,1505,505,149500
NAmes,Other,1949,60.0,924,576,122900
Other,HdBoard,1978,70.0,1683,440,172500
Other,HdBoard,1963,70.0,1068,264,154500
Other,Other,1954,,1383,354,165000
Other,Other,1979,64.0,1535,400,118858
NAmes,HdBoard,1963,71.0,1796,483,140000
Other,Other,1936,50.0,951,327,106500
Other,Other,1979,64.0,2240,528,142953
Other,VinylSd,2009,100.0,2364,820,611657
Other,HdBoard,1961,65.0,1236,288,135000
NAmes,HdBoard,1971,,858,684,110000
NAmes,Other,1957,64.0,1306,756,153000
Other,VinylSd,2003,63.0,1509,393,180000
Other,,2006,50.0,1670,690,240000
Other,HdBoard,1967,,902,288,125500
NAmes,,1954,80.0,1063,280,128000
Other,VinylSd,2006,116.0,1636,865,255000
Other,Other,1936,86.0,2057,180,250000
Other,HdBoard,1983,,902,484,131000
Other,VinylSd,2005,149.0,1484,390,174000
NAmes,Other,1960,80.0,2274,480,154300
CollgCr,HdBoard,1977,,1268,252,143500
Other,Other,1925,51.0,1015,450,88000
Other,Other,1949,82.0,2002,871,145000
Other,VinylSd,2009,30.0,1224,528,173733
Other,Other,1970,21.0,1092,286,75000
Other,Other,1949,50.0,480,308,35311
Edwards,VinylSd,1956,,1229,284,135000
Other,HdBoard,1991,103.0,2127,833,238000
NAmes,Other,1958,87.0,1414,601,176500
Other,HdBoard,1994,70.0,1721,471,201000
Edwards,Other,1900,67.0,2200,0,145900
Other,VinylSd,2005,65.0,1316,397,169990
Other,Other,1993,50.0,1617,533,193000
Other,Other,1980,79.0,1686,612,207500
Other,VinylSd,1977,,1126,540,175000
Other,VinylSd,2003,93.0,2374,656,285000
Other,Other,1968,,1978,486,176000
CollgCr,VinylSd,2001,,1788,522,236500
Other,HdBoard,1997,,2236,642,222000
Other,VinylSd,2007,73.0,1466,610,201000
NAmes,VinylSd,1965,70.0,925,429,117500
Other,VinylSd,2006,84.0,1905,788,320000
CollgCr,VinylSd,2004,63.0,1500,570,190000
NAmes,Other,1960,313.0,2069,505,242000
Other,Other,1926,52.0,747,528,79900
Other,VinylSd,2003,67.0,1200,555,184900
Other,VinylSd,2005,75.0,1971,689,253000
,VinylSd,2006,73.0,1962,868,239799
Other,Other,1940,,2403,349,244400
Other,Other,1976,55.0,1728,574,150900
Other,VinylSd,1999,,2060,390,214000
Edwards,Other,1977,42.0,1440,0,150000
Other,HdBoard,1967,100.0,1632,576,143000
Other,HdBoard,1958,,1344,525,137500
OldTown,VinylSd,1890,98.0,1869,456,124900
NAmes,HdBoard,1959,70.0,1144,796,143000
Other,VinylSd,2002,85.0,1629,808,270000
CollgCr,VinylSd,2002,65.0,1776,474,192500
Other,Other,1972,78.0,1381,676,197500
NAmes,VinylSd,1950,60.0,864,720,129000
Other,VinylSd,1965,60.0,965,300,119900
CollgCr,Other,1972,60.0,768,396,133900
Other,HdBoard,1969,,1968,530,172000
Edwards,,1975,35.0,980,0,127500
Other,Other,1946,82.0,1958,492,145000
Other,Other,1980,24.0,1229,462,124000
Other,Other,1962,70.0,1057,576,132000
CollgCr,VinylSd,2003,65.0,1337,531,185000
Other,Other,1999,24.0,1416,484,155000
Other,Other,1958,50.0,858,0,116500
Other,HdBoard,1977,,2872,619,272000
Other,Other,1976,24.0,1548,440,155000
CollgCr,VinylSd,2007,122.0,1800,702,239000
Other,VinylSd,2002,80.0,1894,510,214900
Other,VinylSd,2005,65.0,1484,393,178900
Other,Other,1940,130.0,1308,256,160000
NAmes,Other,1955,,1098,260,135000
OldTown,VinylSd,1910,50.0,968,0,37900
NAmes,HdBoard,1958,75.0,1095,264,140000
NAmes,Other,1949,60.0,1192,0,135000
Other,VinylSd,2003,36.0,1626,474,173000
Other,Other,1979,55.0,918,264,99500
Other,Other,2007,95.0,1428,480,182000
Other,HdBoard,1910,60.0,2019,532,167500
Other,Other,2000,,1382,490,165000
Other,Other,1923,51.0,869,0,85500
Other,VinylSd,2006,35.0,1241,569,199900
Edwards,Other,1954,68.0,894,400,110000
Other,VinylSd,1963,80.0,1121,480,139000
NAmes,Other,1961,,999,588,178400
Other,VinylSd,1998,98.0,2612,676,336000
Other,VinylSd,2007,43.0,1266,388,159895
CollgCr,Other,2002,,2290,779,255900
Other,Other,1977,75.0,1734,539,126000
Edwards,Other,1950,68.0,1164,240,125000
OldTown,VinylSd,1910,59.0,1635,255,117000
Other,VinylSd,2009,83.0,1940,606,395192
Other,Other,1976,,2030,551,195000
Other,VinylSd,2006,65.0,1576,614,197000
Other,VinylSd,1997,82.0,2392,870,348000
OldTown,Other,1882,121.0,1742,424,168000
NAmes,Other,1964,80.0,1851,440,187000
CollgCr,VinylSd,2005,68.0,1500,564,173900
Other,Other,2006,96.0,1718,786,337500
Other,Other,1946,51.0,1230,305,121600
NAmes,Other,1961,,1050,368,136500
Other,HdBoard,1970,,1442,615,185000
Other,Other,1922,60.0,1077,210,91000
CollgCr,VinylSd,2006,64.0,1208,632,206000
Edwards,Other,1952,74.0,944,528,82000
OldTown,Other,1920,60.0,691,216,86000
Other,VinylSd,2006,75.0,1574,824,232000
Other,VinylSd,1976,,1680,528,136905
Other,VinylSd,2005,43.0,1504,457,181000
CollgCr,HdBoard,1977,65.0,985,328,149900
NAmes,Other,1970,,1657,484,163500
Other,Other,1970,21.0,1092,286,88000
Other,VinylSd,2004,43.0,1710,550,240000
Other,Other,1926,60.0,1522,0,102000
Other,Other,1948,115.0,1271,312,135000
Edwards,Other,1965,75.0,1664,0,100000
Other,Other,1923,55.0,1502,180,165000
OldTown,Other,1910,60.0,1022,280,85000
NAmes,,1948,60.0,1082,240,119200
Other,VinylSd,2001,70.0,1665,528,227000
CollgCr,VinylSd,1996,73.0,1504,478,203000
Other,HdBoard,1984,,1360,565,187500
Other,HdBoard,1991,,1472,402,160000
Other,VinylSd,2005,43.0,1506,440,213490
Edwards,VinylSd,2005,60.0,1132,451,176000
CollgCr,VinylSd,2006,64.0,1220,632,194000
OldTown,Other,1930,52.0,1248,160,87000
Other,VinylSd,2005,43.0,1504,437,191000
Other,Other,1976,,2898,665,287000
CollgCr,VinylSd,1972,70.0,882,461,112500
NAmes,Other,1960,73.0,1264,461,167500
Other,VinylSd,2007,71.0,1646,800,293077
NAmes,Other,1941,79.0,1376,240,105000
Other,HdBoard,1972,21.0,1218,264,118000
Other,VinylSd,1916,,1928,0,160000
Other,Other,1920,102.0,3082,672,197000
Other,Other,1993,,2520,796,310000
CollgCr,VinylSd,2002,,1654,900,230000
Other,Other,1938,50.0,954,240,119750
Edwards,Other,1957,,845,290,84000
Other,VinylSd,2007,89.0,1620,912,315500
CollgCr,VinylSd,2001,,2263,905,287000
Other,Other,1970,21.0,1344,0,97000
Other,Other,1970,21.0,630,286,80000
Other,Other,1957,88.0,1803,484,155000
Other,HdBoard,1966,,1632,484,173000
Other,VinylSd,2005,34.0,1306,624,196000
Other,HdBoard,1990,86.0,2329,514,262280
Other,,1981,80.0,2524,542,278000
Edwards,Other,1955,,1733,452,139600
Other,Other,2005,85.0,2868,716,556581
CollgCr,VinylSd,1994,57.0,990,672,145000
Other,HdBoard,1960,100.0,1771,336,115000
Edwards,Other,1946,60.0,930,308,84900
Other,VinylSd,2007,73.0,1302,436,176485
CollgCr,VinylSd,2007,103.0,1316,440,200141
NAmes,VinylSd,1964,100.0,1977,540,165000
Edwards,,1957,68.0,1526,364,144500
CollgCr,VinylSd,2002,90.0,1989,586,255000
Other,Other,1976,104.0,1523,478,180000
Other,VinylSd,2005,43.0,1364,484,185850
Other,HdBoard,1994,,1850,467,248000
Other,VinylSd,2008,96.0,2184,836,335000
Other,Other,1932,,1991,432,220000
Other,Other,2001,41.0,1338,582,213500
Other,Other,1935,120.0,894,1248,81000
OldTown,Other,1900,85.0,2337,560,90000
OldTown,Other,1925,50.0,1103,440,110500
NAmes,Other,1966,,1154,480,154000
Other,Other,1996,80.0,2260,533,328000
Other,,1993,59.0,1571,380,178000
NAmes,HdBoard,1964,80.0,1611,442,167900
Other,Other,1973,42.0,2521,576,151400
NAmes,Other,1949,60.0,893,576,135000
NAmes,Other,1956,72.0,1048,286,135000
Other,Other,1968,78.0,1556,441,154000
Edwards,Other,1948,50.0,1456,280,91500
Edwards,HdBoard,1977,75.0,1426,440,159500
CollgCr,VinylSd,2006,74.0,1240,826,194000
Other,Other,1940,75.0,1740,240,219500
OldTown,Other,1936,60.0,1466,566,170000
NAmes,VinylSd,1969,,1096,299,138800
CollgCr,VinylSd,2004,37.0,848,420,155900
CollgCr,VinylSd,1994,65.0,990,299,126000
Other,VinylSd,1971,80.0,1258,528,145000
Other,HdBoard,1963,75.0,1040,308,133000
CollgCr,VinylSd,2002,70.0,1459,527,192000
NAmes,HdBoard,1964,80.0,1251,461,160000
Other,HdBoard,1995,,1498,409,187500
Other,HdBoard,1992,73.0,996,564,147000
Other,,1973,,1092,286,83500
Other,VinylSd,2005,85.0,1953,1043,252000
Edwards,VinylSd,2004,24.0,1709,380,137500
Other,Other,2005,37.0,1247,550,197000
NAmes,Other,1950,60.0,1040,400,92900
Other,Other,1999,24.0,1252,462,160000
Other,Other,1925,60.0,1694,576,136500
NAmes,Other,1965,71.0,1200,884,146000
NAmes,Other,1956,74.0,936,308,129000
CollgCr,VinylSd,2006,78.0,1314,440,176432
Other,Other,1914,60.0,1355,0,127000
Other,HdBoard,1986,,1088,461,170000
Other,Other,1936,50.0,1324,240,128000
Other,Other,1978,82.0,1601,478,157000
Other,Other,1920,60.0,438,246,60000
NAmes,HdBoard,1971,61.0,950,280,119500
NAmes,Other,1960,70.0,1134,254,135000
NAmes,Other,1959,79.0,1194,539,159500
Other,HdBoard,1970,24.0,1302,440,106000
Other,HdBoard,1994,98.0,2622,712,325000
Other,HdBoard,1990,114.0,1442,719,179900
Other,VinylSd,2006,168.0,2021,422,274725
Other,VinylSd,2000,,1690,463,181000
Other,Other,2004,107.0,1836,862,280000
Other,HdBoard,1995,,1658,431,188000
Other,Other,1976,80.0,1964,483,205000
NAmes,Other,1957,73.0,816,308,129900
NAmes,Other,1953,66.0,1008,240,134500
OldTown,Other,1954,90.0,833,326,117000
Other,VinylSd,2007,93.0,1734,928,318000
Other,VinylSd,2002,,1419,527,184100
Other,VinylSd,1967,57.0,894,450,130000
Other,Other,1958,85.0,1601,300,140000
NAmes,Other,1959,70.0,1040,286,133700
Other,Other,1920,59.0,1012,308,118400
CollgCr,VinylSd,2005,84.0,1552,782,212900
Edwards,Other,1956,,960,288,112000
Edwards,VinylSd,1947,50.0,698,0,118000
Other,HdBoard,1992,,1482,392,163900
NAmes,Other,1955,60.0,1005,672,115000
Other,VinylSd,2007,53.0,1555,660,174000
Other,VinylSd,2004,182.0,1530,630,259000
Other,VinylSd,2004,59.0,1959,434,215000
OldTown,Other,1980,60.0,936,672,140000
Other,Other,1928,65.0,1981,576,135000
Other,HdBoard,1991,63.0,974,0,93500
OldTown,Other,1880,90.0,2210,205,117500
Other,VinylSd,1995,80.0,2020,466,239500
Other,VinylSd,1997,57.0,1600,460,169000
Other,Other,1926,60.0,986,180,102000
NAmes,VinylSd,1950,80.0,1252,288,119000
Other,VinylSd,1875,54.0,1020,0,94000
Other,Other,1977,,1567,714,196000
Other,Other,1920,98.0,1167,495,144000
NAmes,HdBoard,1951,60.0,952,840,139000
Other,Other,1976,,1868,484,197500
CollgCr,VinylSd,2006,77.0,2828,1052,424870
Other,Other,1959,,1006,0,80000
Edwards,Other,1941,60.0,924,280,80000
Other,Other,1928,52.0,1576,225,149000
Other,Other,1985,,1298,403,180000
Other,Other,1941,75.0,1564,234,174500
OldTown,Other,1926,,1111,288,116900
OldTown,VinylSd,1920,50.0,1482,324,143000
NAmes,Other,1950,57.0,932,306,124000
Edwards,HdBoard,1959,134.0,1466,528,149900
Other,Other,1956,90.0,1811,470,230000
Other,Other,1930,,816,432,120500
NAmes,VinylSd,1965,,1820,492,201800
Other,Other,1976,90.0,1437,528,218000
NAmes,Other,1965,85.0,1265,502,179900
Other,VinylSd,2007,34.0,1314,626,230000
Other,VinylSd,2007,92.0,1580,830,235128
Other,HdBoard,1974,76.0,1876,540,185000
Other,Other,1978,24.0,1456,440,146000
Other,HdBoard,1954,,1640,924,224000
Other,VinylSd,1968,109.0,894,450,129000
Other,Other,1969,60.0,1258,400,108959
Other,Other,1978,,1432,588,194000
Other,VinylSd,2009,79.0,1502,644,233170
CollgCr,VinylSd,2008,64.0,1694,776,245350
Other,VinylSd,2000,58.0,1671,472,173000
Edwards,Other,1935,120.0,2108,540,235000
Other,HdBoard,1995,118.0,3627,807,625000
Other,Other,1977,76.0,1118,358,171000
NAmes,Other,1958,76.0,1261,433,163000
Other,Other,2006,35.0,1250,625,171900
Other,Other,1946,138.0,3086,0,200500
Other,Other,1932,80.0,2345,360,239000
Other,HdBoard,1992,85.0,2872,541,285000
Other,HdBoard,1984,37.0,923,264,119500
OldTown,,1926,,1224,210,115000
Other,Other,1921,54.0,1343,186,154900
Edwards,Other,1954,77.0,1124,0,93000
Other,Other,1990,,2514,693,250000
Other,Other,2008,64.0,1652,482,392500
Other,Other,1996,160.0,4476,813,745000
OldTown,Other,1920,60.0,1130,720,120000
Other,Other,1963,50.0,1572,995,186700
Edwards,Other,1924,60.0,1221,392,104900
OldTown,HdBoard,1900,107.0,1699,420,95000
Other,,1994,89.0,1624,757,262000
CollgCr,VinylSd,2002,68.0,1660,493,195000
Other,,1999,60.0,1804,442,189000
Other,Other,1961,,1622,1356,168000
Other,Other,1999,24.0,1441,492,174000
OldTown,VinylSd,1925,60.0,1472,250,125000
Other,VinylSd,1999,,1224,402,165000
Other,HdBoard,1969,80.0,1352,299,158000
Other,VinylSd,2005,51.0,1456,400,176000
,VinylSd,2006,58.0,1863,660,219210
OldTown,Other,1916,65.0,1690,225,144000
CollgCr,VinylSd,2001,70.0,1212,573,178000
Other,HdBoard,1963,75.0,1382,459,148000
NAmes,Other,1970,71.0,864,280,116050
CollgCr,VinylSd,1998,80.0,1779,546,197900
Other,Other,1925,50.0,1348,216,117000
CollgCr,VinylSd,2000,75.0,1630,451,213000
Other,HdBoard,1975,78.0,1074,495,153500
Other,HdBoard,1990,90.0,2196,701,271900
Other,HdBoard,1966,,1056,384,107000
CollgCr,VinylSd,2003,70.0,1700,544,200000
NAmes,Other,1962,70.0,1283,506,140000
Other,VinylSd,2006,85.0,1660,500,290000
Other,Other,1992,70.0,1845,462,189000
Other,Other,1988,152.0,1752,492,164000
Edwards,Other,1941,50.0,672,234,113000
Other,VinylSd,1965,,960,364,145000
NAmes,Other,1962,69.0,999,300,134500
Other,VinylSd,1966,99.0,894,384,125000
Other,VinylSd,1978,68.0,1902,539,112000
Other,Other,2009,72.0,1314,552,229456
Other,Other,1947,52.0,912,0,80500
Other,Other,1971,21.0,1218,0,91500
NAmes,Other,1964,66.0,912,288,115000
Other,HdBoard,1968,55.0,1211,322,134000
NAmes,Other,1949,78.0,1846,315,143000
NAmes,Other,1951,89.0,2136,528,137900
Other,VinylSd,2004,60.0,1490,388,184000
NAmes,VinylSd,1958,65.0,1138,264,145000
Other,VinylSd,2007,86.0,1933,668,214000
NAmes,VinylSd,1965,72.0,912,576,147000
Other,Other,2008,65.0,1702,1052,367294
NAmes,Other,1960,70.0,1507,404,127000
Other,Other,1977,,2620,600,190000
